,Group Stage,Round of 32,Round of 16,Quarter-final,Semi-final,Final,Champion
France,0.0,0.0,15.0,12.5,26.3,17.8,28.3
Argentina,0.0,4.1,12.7,20.2,18.7,20.1,24.2
Spain,0.0,15.1,23.6,8.2,21.0,10.5,21.7
Brazil,0.0,0.0,40.0,26.1,19.5,9.1,5.3
England,0.0,14.4,42.3,19.3,13.0,6.5,4.4
Colombia,0.0,6.0,34.2,37.6,11.2,6.9,4.1
Mexico,0.0,0.0,45.0,31.8,15.0,5.7,2.5
Portugal,0.0,42.4,36.1,6.2,9.4,3.6,2.4
Norway,0.0,0.0,60.0,21.2,12.2,4.6,2.0
Croatia,0.0,57.6,30.3,4.7,4.6,1.8,0.9
Morocco,0.0,0.0,41.9,46.2,8.2,2.8,0.9
Switzerland,0.0,27.9,40.8,22.7,5.5,2.2,0.8
Senegal,0.0,54.2,16.6,22.4,5.0,1.4,0.5
Belgium,0.0,45.8,20.5,25.8,6.0,1.4,0.4
USA,0.0,25.9,42.8,25.2,4.5,1.2,0.3
Paraguay,0.0,0.0,85.0,7.3,5.9,1.5,0.3
Canada,0.0,0.0,58.1,34.0,6.3,1.2,0.3
Australia,0.0,38.7,50.5,7.2,2.7,0.7,0.2
Austria,0.0,84.9,10.0,2.2,2.3,0.4,0.2
South Africa,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Czechia,100.0,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Qatar,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,0.0,74.1,20.1,5.3,0.5,0.1,0.0
Türkiye,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Scotland,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Haiti,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Netherlands,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Japan,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Ivory Coast,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Curaçao,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Uruguay,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Cape Verde,0.0,95.9,2.9,1.1,0.0,0.0,0.0
New Zealand,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Egypt,0.0,61.3,33.9,3.5,1.0,0.3,0.0
Iran,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Sweden,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Tunisia,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Ecuador,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Jordan,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Iraq,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,0.0,72.1,20.1,6.5,1.0,0.2,0.0
Uzbekistan,100.0,0.0,0.0,0.0,0.0,0.0,0.0
DR Congo,0.0,85.6,12.7,1.6,0.2,0.0,0.0
Ghana,0.0,94.0,4.8,1.1,0.0,0.0,0.0
Panama,100.0,0.0,0.0,0.0,0.0,0.0,0.0
